body
said.
Dole
The
Harvard
Clinton
Republican
New
students
But
people
political
President
campaign
like
Buchanan
she
"""I"
you
what
American
because
first
president
time
just
student
former
presidential
her
U.S.
Hampshire
Kennedy
percent
says
candidate
In
him
council
candidates
"""The"
get
Republicans
Democrats
Forbes
party
Democratic
public
years
issues
Clinton's
University
voters
J.
those
national
think
want
going
support
primary
House
against
my
them
And
government
take
social
how
says.
where
work
election
policy
welfare
very
state
next
federal
Sen.
year
vote
School
Alexander
race
Professor
did
Robert
College
"""We"
Gates
really
Wilson
being
too
Weld
don't
might
A
We
members
tax
say
conservative
college
received
well
us
program
GOP
me
told
Bob
during
few
course
between
Dole's
back
good
several
then
called
America
way
himself
according
director
come
As
"said,"
yesterday
M.
does
money
lot
four
White
While
same
bill
it's
each
John
This
Cambridge
help
never
economic
school
class
see
working
S.
National
United
group
three
night
chair
Bill
part
State
go
without
took
around
he's
D.
"""It"
He
long
place
recent
right
Kerry
past
become
F.
women
campus
They
William
little
Wilson's
Buchanan's
"Clinton,"
convention
show
"""He"
local
across
children
liberal
She
can't
media
professor
man
here
Clinton.
Iowa
added
Lugar
Committee
press
within
running
held
department
HYPE
less
including
L.
politics
came
groups
off
know
among
country
young
member
Crimson
need
delegates
under
reform
down
Afro-American
When
Patrick
high
Government
York
personal
decision
Harvard's
IOP
"year,"
major
great
put
community
Congress
used
ideas
why
own
A.
wanted
victory
speech
your
win
world
R.
important
flat
chance
faculty
Department
asked
big
call
If
every
For
Congressional
popular
current
use
receive
keep
W.
Americans
end
process
lead
interest
find
black
rights
turn
Although
"Dole,"
week
international
kind
things
"time,"
'96
At
"""If"
"Buchanan,"
provide
debate
Gov.
Senate
away
hope
worked
whose
actually
vice
supporters
budget
seems
years.
look
programs
whether
First
thought
power
Washington
states
Hillary
real
served
second
Lamar
"""I'm"
South
poor
doesn't
News
event
number
continue
feel
better
once
message
Hyman
talk
leaders
"years,"
someone
decided
"Wilson,"
days
Dornan
offered
polls
America's
Malone
cut
done
role
simply
Christopher
I'm
run
commentator
name
found
give
'97
Students
we're
Jr.
went
able
involved
day
ever
large
outside
George
final
tried
After
beat
moderate
behind
interview
another
B.
far
party's
left
best
David
aid
open
Studies
cannot
research
Public
enough
fact
job
focus
top
already
trade
Center
fall
"""It's"
home
certain
"""the"
different
looking
something
administration
taken
questions
T.
housing
Michael
yet
got
future
plan
"'97,"
didn't
English
"students,"
am
least
whole
graduate
One
speak
five
makes
voting
free
address
Boston
Massachusetts
Some
health
"ago,"
it.
"primary,"
On
"issues,"
history
His
senator
"here,"
alumni
Class
study
experience
E.
According
H.
Richard
World
Afro-Am
together
sense
known
MTV
there's
hard
clear
With
year.
television
governor
officials
care
third
meeting
It
foreign
active
trying
10
There
"""a"
million
move
attention
rally
change
executive
Council
"that,"
Rep.
themselves
nation's
politicians
funding
organization
poll
war
six
available
courses
"""You"
believe
always
efforts
campaigning
involvement
Secretary
almost
primary.
resident
Buchanan.
Louisiana
throughout
"""This"
States
making
state's
primaries
Harvard-Radcliffe
assistant
Federal
office
life
taking
often
leave
plans
doing
small
academic
jobs
Yet
middle
seen
So
upon
"it,"
strategy
"However,"
sent
thing
toward
lack
gave
Keyes
Granite
Despite
expressed
human
focused
"""We're"
education
night's
delegate
Powell
audience
Many
issue
elected
again
view
leading
problems
Skocpol
problem
coming
represent
campaign.
Tennessee
despite
financial
Vietnam
*
Pat
agreed
Forbes'
wrote
"week,"
billion
San
cuts
Board
Raines
Institute
fellows
teach
included
independent
instead
family
considered
early
nothing
longer
upcoming
election.
won
concerned
issues.
Most
nomination
following
(R-Kan.)
further
What
until
giving
"'96,"
vision
choice
weeks
old
P.
elections
increase
system
months
"Phan,"
ROTC
HRC
bring
"Harvard,"
1995
currently
especially
Last
Chicago
became
taught
culture
having
serious
prominent
"""But"
He's
action
learned
set
"course,"
news
voter
let
30
security
opposition
official
Hall
general
registered
Alan
law
nomination.
traditional
showed
yesterday.
Another
although
week.
break
"'98,"
C.
Lewis
Appiah
tobacco
Fitzwater
nominee
America.
term
proposed
include
particularly
"Alexander,"
interested
service
studies
Times
facing
protest
everyone
biggest
room
Political
rather
person
parents
city
votes
house
Trumbull
results
night.
"night,"
"example,"
brought
information
"""Steve"""
Porter
religious
cited
These
senior
rest
staff
Student
"Democrats,"
platform
"""A"
Edwards
'98
age
police
offer
Since
leadership
Brown
policy.
government.
forward
"book,"
perhaps
turned
book
getting
showing
strong
they're
nearly
question
stand
"voters,"
possible
visit
"""There"
affirmative
moral
Internet
recently
values
ability
Reagan
anyone
month
earlier
Ceaser
ads
Press
Steve
isn't
Union
calls
negative
citizens
cast
20
majority
agenda
likely
late
shape
cover
Joseph
direct
greater
fight
claimed
Education
Health
Christofferson
Zerhouni
failed
list
underage
Dean
mandate
Hill
meet
1992
"government,"
spend
hopes
discussion
saying
playing
spent
lost
To
sat
given
Social
wants
announced
"Gates,"
moving
February
powerful
them.
"""He's"
close
It's
"campaign,"
common
City
seem
North
week's
radio
"it,"""
Even
publisher
Malcolm
candidate.
needs
led
Just
Tuesday
"event,"
policies
response
access
"education,"
abortion
result
first-year
politically
that's
order
Dow
turnout
Gardiner
Rangel
Reserve
Radcliffe
Simons
seven
Al
teaching
semester
School.
try
business
reached
either
Policy
fear
voice
race.
anything
success
supporting
calling
residents
began
higher
earned
gain
hoping
presidency
spending
terms
legal
"Forbes,"
provided
crime
nation
secretary
attended
today's
friends
president.
individual
contributed
Ross
Dartmouth
"race,"
needed
Chair
15
Rodham
remain
wasn't
1994
delivered
professors
Amnesty
letter
HRRA
D'Amato
Politics
California
Gore
point
idea
fellow
spring
opportunity
control
dean
Black
"""And"
events
heart
signs
heard
food
won't
looks
views
difficult
wage
designed
endorsement
effort
Party
means
House.
promised
supports
points
Gramm
urged
you're
Gingrich
attempt
winning
claim
"candidates,"
position
live
ran
responsible
year's
"budget,"
proposal
polling
