year,winners,losers
1956,236,140
1960,156,142
1964,349,175
1968,127,130
1972,669,393
1976,408,223
1980,312,890
1984,722,261
1988,620,864
1992,954,1052
1996,549,723
2000,538,531
2004,1223,786
2008,755,393
2012,661,533
2016,731,373
