year,winners,losers
1956,98,41
1960,25,26
1964,119,55
1968,48,40
1972,146,79
1976,69,96
1980,66,223
1984,193,61
1988,133,144
1992,161,212
1996,143,93
2000,134,118
2004,330,156
2008,193,113
2012,220,127
2016,146,100
